
Time: 0
Waiting clients: 
(253,10,8)
(297,10,5)
(500,10,7)
(543,10,3)
(720,10,6)
(820,10,7)
(830,10,3)
(837,10,8)
(858,10,3)
(10,11,3)
(76,11,5)
(97,11,8)
(104,11,3)
(211,11,7)
(261,11,7)
(360,11,8)
(373,11,3)
(377,11,3)
(457,11,8)
(494,11,3)
(534,11,3)
(727,11,7)
(941,11,8)
(986,11,8)
(171,12,7)
(176,12,7)
(357,12,7)
(370,12,5)
(420,12,3)
(521,12,5)
(577,12,6)
(621,12,6)
(656,12,5)
(744,12,6)
(794,12,5)
(798,12,4)
(807,12,4)
(914,12,6)
(939,12,7)
(4,13,7)
(218,13,6)
(279,13,3)
(390,13,8)
(464,13,7)
(668,13,4)
(689,13,5)
(900,13,7)
(922,13,8)
(11,14,5)
(54,14,5)
(186,14,7)
(190,14,4)
(247,14,7)
(318,14,7)
(414,14,4)
(421,14,6)
(432,14,3)
(535,14,6)
(583,14,3)
(644,14,8)
(676,14,5)
(741,14,5)
(813,14,6)
(889,14,3)
(916,14,7)
(948,14,7)
(983,14,7)
(984,14,7)
(46,15,5)
(70,15,3)
(119,15,3)
(207,15,5)
(448,15,6)
(487,15,4)
(536,15,8)
(783,15,3)
(840,15,5)
(920,15,7)
(995,15,8)
(14,16,8)
(66,16,4)
(191,16,4)
(311,16,3)
(369,16,7)
(401,16,5)
(438,16,7)
(831,16,4)
(904,16,7)
(909,16,6)
(913,16,6)
(940,16,7)
(21,17,7)
(61,17,8)
(192,17,6)
(344,17,4)
(437,17,4)
(484,17,3)
(518,17,3)
(520,17,7)
(663,17,6)
(924,17,5)
(68,18,4)
(169,18,3)
(291,18,3)
(330,18,6)
(339,18,7)
(367,18,6)
(507,18,7)
(574,18,6)
(642,18,5)
(666,18,5)
(917,18,7)
(991,18,4)
(26,19,3)
(37,19,6)
(69,19,8)
(108,19,3)
(120,19,3)
(149,19,5)
(257,19,4)
(381,19,6)
(393,19,4)
(476,19,6)
(492,19,5)
(512,19,7)
(515,19,5)
